channel_id,handle,subscribers,youtube_channel_url,youtube_channel_videos_url
UCAiLfjNXkNv24uhpzUgPa6A,@MrBeast,334000000,https://www.youtube.com/@MrBeast,https://www.youtube.com/@MrBeast/videos
UChz5aEi3dfrDVC8-YJsMUDA,@tseries,280000000,https://www.youtube.com/@tseries,https://www.youtube.com/@tseries/videos
client,@SETIndia,179000000,https://www.youtube.com/@SETIndia,https://www.youtube.com/@SETIndia/videos
UCx790OVgpTC1UVBQIqu3gnQ,@KidsDianaShow,128000000,https://www.youtube.com/@KidsDianaShow,https://www.youtube.com/@KidsDianaShow/videos
UCP9MW9ATjUwwulqEYTbp-Mw,@VladandNiki,128000000,https://www.youtube.com/@VladandNiki,https://www.youtube.com/@VladandNiki/videos
UC65k85L-snOe2AaDxhLHVtQ,@LikeNastyaofficial,123000000,https://www.youtube.com/@LikeNastyaofficial,https://www.youtube.com/@LikeNastyaofficial/videos
client,@zeemusiccompany,112000000,https://www.youtube.com/@zeemusiccompany,https://www.youtube.com/@zeemusiccompany/videos
UCQ4zIVlfhsmvds7WuKeL2Bw,@PewDiePie,110000000,https://www.youtube.com/@PewDiePie,https://www.youtube.com/@PewDiePie/videos
client,@WWE,105000000,https://www.youtube.com/@WWE,https://www.youtube.com/@WWE/videos
client,@GoldminesTelefilms,101000000,https://www.youtube.com/@GoldminesTelefilms,https://www.youtube.com/@GoldminesTelefilms/videos
UCUdKQXtKb1me2Gt1nz6tzdg,@StokesTwins,100000000,https://www.youtube.com/@StokesTwins,https://www.youtube.com/@StokesTwins/videos
UCQi67q4kGdmnJaRzX81uK5g,@BLACKPINK,95300000,https://www.youtube.com/@BLACKPINK,https://www.youtube.com/@BLACKPINK/videos
client,@zeetv,85900000,https://www.youtube.com/@zeetv,https://www.youtube.com/@zeetv/videos
UC295-Dw_tDNtZXFeAPAW6Aw,@5MinuteCraftsYouTube,81100000,https://www.youtube.com/@5MinuteCraftsYouTube,https://www.youtube.com/@5MinuteCraftsYouTube/videos
client,@colorstv,77400000,https://www.youtube.com/@colorstv,https://www.youtube.com/@colorstv/videos
UCz8gf4PK1Qth50lLHdvTCcA,@kimpro828,71200000,https://www.youtube.com/@kimpro828,https://www.youtube.com/@kimpro828/videos
UC2tsySbe9TNrI-xh2lximHA,@A4a4a4a4,70900000,https://www.youtube.com/@A4a4a4a4,https://www.youtube.com/@A4a4a4a4/videos
UCtxD0x6AuNNqdXO9Wp5GHew,@cristiano,70400000,https://www.youtube.com/@cristiano,https://www.youtube.com/@cristiano/videos
UCF1JIbMUs6uqoZEY1Haw0GQ,@filmigaane,70200000,https://www.youtube.com/@filmigaane,https://www.youtube.com/@filmigaane/videos
