Youtube_Channel_URL,validated_url,is_valid,channel_id,handle,subscribers,error
https://www.youtube.com/channel/UCxk3NuoeaRemKOBw4hA9SkQ,https://www.youtube.com/channel/UCxk3NuoeaRemKOBw4hA9SkQ,True,UCxk3NuoeaRemKOBw4hA9SkQ?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxk5fHRBnK3e2LEnx6IcK_w,https://www.youtube.com/channel/UCxk5fHRBnK3e2LEnx6IcK_w,True,UCxk5fHRBnK3e2LEnx6IcK_w?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkBI8BjGY7GQnr0w9e4bmg,https://www.youtube.com/channel/UCxkBI8BjGY7GQnr0w9e4bmg,True,UCxkBI8BjGY7GQnr0w9e4bmg?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkBbyvUGGr6BSH7sDK1zcQ,https://www.youtube.com/channel/UCxkBbyvUGGr6BSH7sDK1zcQ,True,UCxkBbyvUGGr6BSH7sDK1zcQ?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkCQkVNzGuOg1i8ZKOGJig,https://www.youtube.com/channel/UCxkCQkVNzGuOg1i8ZKOGJig,True,UCxkCQkVNzGuOg1i8ZKOGJig?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkJ47-IN-kCG_IBVu1Y56g,https://www.youtube.com/channel/UCxkJ47-IN-kCG_IBVu1Y56g,True,UCxkJ47-IN-kCG_IBVu1Y56g?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkJL-gVUweuvW-jFcHRZUw,https://www.youtube.com/channel/UCxkJL-gVUweuvW-jFcHRZUw,True,UCxkJL-gVUweuvW-jFcHRZUw?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkN3vzYh8Pg8UxAO_hHjLg,https://www.youtube.com/channel/UCxkN3vzYh8Pg8UxAO_hHjLg,True,UCxkN3vzYh8Pg8UxAO_hHjLg?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkNUzl6w0m71ptfwVvsjlg,https://www.youtube.com/channel/UCxkNUzl6w0m71ptfwVvsjlg,True,UCxkNUzl6w0m71ptfwVvsjlg?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkO_F5ePCWeb6xwfcgaW5w,https://www.youtube.com/channel/UCxkO_F5ePCWeb6xwfcgaW5w,True,UCxkO_F5ePCWeb6xwfcgaW5w?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkQ_QtiI8BBGAp_rHSmU-g,https://www.youtube.com/channel/UCxkQ_QtiI8BBGAp_rHSmU-g,True,UCxkQ_QtiI8BBGAp_rHSmU-g?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkQwIshySkwOqEuZ28o8KA,https://www.youtube.com/channel/UCxkQwIshySkwOqEuZ28o8KA,True,UCxkQwIshySkwOqEuZ28o8KA?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkR6zse3jddS4UmeWRxVEA,https://www.youtube.com/channel/UCxkR6zse3jddS4UmeWRxVEA,True,UCxkR6zse3jddS4UmeWRxVEA?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkXdmrIc5HG_ClUKrDMA_g,https://www.youtube.com/channel/UCxkXdmrIc5HG_ClUKrDMA_g,True,UCxkXdmrIc5HG_ClUKrDMA_g?cbrd%3D1&amp;gae=cb-,,0,
