Channel_Name,Display_Name,Title,Subscribers,Country,Avg_Views,Avg_Likes,Avg_Comments,YouTube_Channel_URL
zhong,zhong,Zhong,44800000.0,United States,1100000.0,38000.0,142.0,https://www.youtube.com/@zhong
whindersson,whindersson,whinderssonnunes,44700000.0,Brazil,27300.0,3700.0,55.0,https://www.youtube.com/@whindersson
brightsideofficial,brightsideofficial,BRIGHT SIDE,44700000.0,United States,18900.0,242.0,12.0,https://www.youtube.com/@brightsideofficial
issei0806,issei0806,ISSEI / いっせい,44700000.0,India,1500000.0,67900.0,78.0,https://www.youtube.com/@issei0806
dafuqboom,dafuqboom,DaFuq!?Boom!,44500000.0,United States,5200000.0,373400.0,9400.0,https://www.youtube.com/@dafuqboom
humtv,humtv,HUM TV,44400000.0,Pakistan,6700.0,122.0,1.0,https://www.youtube.com/@humtv
gaanesuneansune,gaanesuneansune,Goldmines Gaane Sune Ansune,44300000.0,India,24500.0,231.0,9.0,https://www.youtube.com/@gaanesuneansune
likenastya_show,likenastya_show,Like Nastya Show,44100000.0,Unknown,65200.0,276.0,0.0,https://www.youtube.com/@likenastya_show
powerkidstv,powerkidstv,PowerKids TV,44000000.0,India,32000.0,0.0,3.0,https://www.youtube.com/@powerkidstv
totalgaming093,totalgaming093,Total Gaming,44000000.0,India,1200000.0,75100.0,9800.0,https://www.youtube.com/@totalgaming093
indiatv,indiatv,IndiaTV,43800000.0,India,6000.0,131.0,3.0,https://www.youtube.com/@indiatv
