validated_url,channel_id,handle,subscribers
https://www.youtube.com/channel/UCThbMTLFbeDGrZlb9DnTKDg/videos,UC_OSdQpp6C1ERHZe2zkMLlA,@EngineerMuhammadAliMirzaClips,2910000
https://www.youtube.com/channel/UCUkuK8uiLFL38yddsNB7Kcg/videos,UCUkuK8uiLFL38yddsNB7Kcg,@PublicMeter,2910000
https://www.youtube.com/channel/UCXBIIbGe37lKXFHdM050f2w/videos,UCU1iFn3BNC1We_F_3Zc8VWA,@thevoicekidsrussia,2910000
https://www.youtube.com/channel/UCm5C-ZVWMJAQQmbs9b_9Lbw/videos,UCm5C-ZVWMJAQQmbs9b_9Lbw,@banglacine,2910000
https://www.youtube.com/channel/UCxG6Tbopv4XcHfem65bgFeg/videos,UCNR06PEAvBj_siYZCBtk1hw,@SuperSimplePlay,2910000
https://www.youtube.com/channel/UCE5RIa7b_JIK0a31Uaq4xRw/videos,UCID4GuIgICjjAbjxjKrDQDg,@RTVNewsNetwork,2910000
https://www.youtube.com/channel/UCo2EevPr79_Ux66GACESAkQ/videos,UC1mDJ8886jRiSr0JiKXgdWQ,@ibisPaint,2910000
https://www.youtube.com/channel/UCxMjvrv-TIEm0IdSAvVic4g/videos,UC3haaJI0Rpwy5o4C-zplQKg,@KuklaLoli,2910000
https://www.youtube.com/channel/UCpyDd4YbikHZE-DtNGfpdjQ/videos,UCARGfPTYHpP6M21SYsTy6pg,@twoplayersoneconsoleYT,2910000
https://www.youtube.com/channel/UCzjFS-45xhhfFLTbr0L6ogA/videos,UCzjFS-45xhhfFLTbr0L6ogA,@ShaliniStores,2910000
https://www.youtube.com/channel/UCpvswR0wPIEI8IbLW0i5xAA/videos,UCpvswR0wPIEI8IbLW0i5xAA,@MrGong_Flowers,2910000
https://www.youtube.com/channel/UCLFJxkc6mv0Mj6N49MHyK2Q/videos,UCxrwIPfyS8dMSM43Y4ktrHQ,@Mayapolarbear,2910000
https://www.youtube.com/channel/UCDH0QdbNAODoidTx502EDtg/videos,UCDH0QdbNAODoidTx502EDtg,@javifreestyle,2910000
https://www.youtube.com/channel/UC9mWjp-BI4nNv5UE524Tx8A/videos,UC9mWjp-BI4nNv5UE524Tx8A,@Littlemobcraft,2910000
https://www.youtube.com/channel/UC_Bdb9Wng_QU8CQt2uiRl4A/videos,UC_Bdb9Wng_QU8CQt2uiRl4A,@Spacys,2910000
https://www.youtube.com/channel/UCOe7D9ga98u5Rr2w2gvqK9Q/videos,UCNzsYU0aWwjERj-9Y9HUEng,@LittleAngelPlayTime,2910000
https://www.youtube.com/channel/UCRkQ5F-b2qU2rYE7-GfGkOA/videos,UCRkQ5F-b2qU2rYE7-GfGkOA,@VitaliyOrekhov,2910000
https://www.youtube.com/channel/UCBio7O4YPxTtuQJd3ak7ttw/videos,UCuU6tADJskWA4T2wwqYGdPg,@arni_marat,2910000
https://www.youtube.com/channel/UCTBLiYlvM6JeAkUk1I2p54A/videos,UC3zaLf8BL_MHPFc4BUbHuPA,@kheyalkhushi,2910000
