Youtube_Channel_URL,validated_url,is_valid,channel_id,handle,subscribers,error
https://www.youtube.com/channel/UCmJHbNZe5zoDaB0uv0b93qA,https://www.youtube.com/channel/UCmJHbNZe5zoDaB0uv0b93qA,True,UC2HuqUC0eGdhxYZ8NdHsucw,@joyelawfirmpi,388,
https://www.youtube.com/channel/UCmJInHS49vq0Zz2alTCrurw,https://www.youtube.com/channel/UCmJInHS49vq0Zz2alTCrurw,True,UCmJInHS49vq0Zz2alTCrurw,@xopomdopin7974,1,
https://www.youtube.com/channel/UCmJIvnjtQRbqJ0LInjjmYbQ,https://www.youtube.com/channel/UCmJIvnjtQRbqJ0LInjjmYbQ,True,UCmJIvnjtQRbqJ0LInjjmYbQ,@Olmeccosmeticsurgery,50K,
https://www.youtube.com/channel/UCmJL1aUzYTUinpjzLoPWbqQ,https://www.youtube.com/channel/UCmJL1aUzYTUinpjzLoPWbqQ,True,UCmJL1aUzYTUinpjzLoPWbqQ,@AleksiSaapunki,60.2K,
https://www.youtube.com/channel/UCmJLNo4bkEi-8pD3YUsiMlQ,https://www.youtube.com/channel/UCmJLNo4bkEi-8pD3YUsiMlQ,True,UCmJLNo4bkEi-8pD3YUsiMlQ,@albertinasacaca1,252K,
https://www.youtube.com/channel/UCmJNMG180NJdUcFi3LOwaaQ,https://www.youtube.com/channel/UCmJNMG180NJdUcFi3LOwaaQ,True,UCmJNMG180NJdUcFi3LOwaaQ,@anbinternational1576,578,
https://www.youtube.com/channel/UCmJPSyWLht6RRpkerr-uHZQ,https://www.youtube.com/channel/UCmJPSyWLht6RRpkerr-uHZQ,True,UCmJPSyWLht6RRpkerr-uHZQ,@TeleviziaPrievidza,6.59K,
https://www.youtube.com/channel/UCmJPbP_OSB9XiwXhGZarzPQ,https://www.youtube.com/channel/UCmJPbP_OSB9XiwXhGZarzPQ,True,UCmJPbP_OSB9XiwXhGZarzPQ,@minaxan6831,1.62K,
https://www.youtube.com/channel/UCmJVZMInBPpp25fk2LLvB2A,https://www.youtube.com/channel/UCmJVZMInBPpp25fk2LLvB2A,True,UCmJVZMInBPpp25fk2LLvB2A,@justdrift8737,134,
https://www.youtube.com/channel/UCmJ_L35KPnDoIfzbe4sfRQA,https://www.youtube.com/channel/UCmJ_L35KPnDoIfzbe4sfRQA,True,UCyLCM2cH1J2YIuyQsIlIoug,@AllenJacksonMinistries,126K,
https://www.youtube.com/channel/UCmJb_q1GI9NeqDPQtgN-uZA,https://www.youtube.com/channel/UCmJb_q1GI9NeqDPQtgN-uZA,True,UCmJb_q1GI9NeqDPQtgN-uZA,@ChrisyLuxembourg,1.58K,
https://www.youtube.com/channel/UCmJdYMAIPeHzCv_9hLzbBPw,https://www.youtube.com/channel/UCmJdYMAIPeHzCv_9hLzbBPw,True,UCmJdYMAIPeHzCv_9hLzbBPw,@jubilej,48.1K,
